healthy_life_expectancy_period,council_area_code,council_area,sex,age_group,healthy_life_expectancy_years,healthy_life_expectancy_lower_95_ci,healthy_life_expectancy_upper_95_ci,simd_datazone_count,simd_rank_median,simd_most_deprived_15pct_datazones_share_pct,simd_least_deprived_15pct_datazones_share_pct,simd_most_deprived_quintile_datazones_share_pct,simd_least_deprived_quintile_datazones_share_pct,economic_population_aged_16plus_count,economic_employment_rate_pct,economic_unemployment_rate_pct,economic_inactivity_rate_pct,economic_inactive_long_term_sick_disabled_rate_pct,economic_inactive_retired_rate_pct,economic_inactive_looking_after_home_family_rate_pct,economic_active_full_time_student_rate_pct,economic_part_time_among_employed_pct,economic_self_employed_among_employed_pct,census_total_population_count,census_ethnic_minority_excluding_white_population_pct,census_ethnic_mixed_or_multiple_population_pct,census_ethnic_asian_population_pct,census_ethnic_african_population_pct,census_ethnic_caribbean_or_black_population_pct,census_ethnic_other_ethnic_group_population_pct,census_ethnic_diversity_simpson_index_broad_groups,census_degree_level_qualification_or_above_population_aged_16plus_pct,census_bad_or_very_bad_general_health_age_standardised_pct,census_day_to_day_activities_limited_any_pct,census_day_to_day_activities_limited_a_lot_pct,census_long_term_illness_disease_or_condition_pct,census_mental_health_condition_pct,census_physical_disability_pct,census_learning_disability_difficulty_or_developmental_disorder_pct,census_deaf_or_hearing_impaired_pct,census_blind_or_vision_impaired_pct,hospital_alcohol_related_patients_easr_per_100000_2023_24,sex_female,hle_ci_width_years,hle_category,hle_category_code,deprivation_quartile
2022 to 2024,S12000008,East Ayrshire,Male,<1,54.2,49.6,58.8,163,2293.0,22.08589,7.97546,31.90184,10.429448,47959,58.462437,3.407077,38.124231,6.234492,23.670218,1.92039,2.170604,13.713532,17.091091,120324,2.16665,0.58758,1.036368,0.191982,0.081447,0.270935,0.04271,23.4,7.7,27.100163,12.814567,23.783285,11.680961,11.660184,4.971577,7.36179,2.79994,375.2,0,9.199999999999996,Low HLE,0,Q4: most exposed
2022 to 2024,S12000045,East Dunbartonshire,Female,<1,64.6,60.7,68.5,130,5631.5,3.076923,40.769231,3.846154,50.0,47129,53.845827,1.459823,44.69435,3.781111,31.700227,4.211844,3.49042,41.100209,9.260354,108937,6.555165,1.095128,4.331862,0.365349,0.070683,0.695815,0.124748,42.9,5.0,21.494993,9.385241,20.961657,8.1157,8.575599,3.916943,7.567677,2.298576,239.5,1,7.799999999999997,High HLE,2,Q1: least exposed
2022 to 2024,S12000045,East Dunbartonshire,Male,<1,63.9,60.8,67.0,130,5631.5,3.076923,40.769231,3.846154,50.0,42588,59.906546,2.244764,37.86043,3.31314,26.566169,1.000282,3.122945,15.556775,17.947713,108937,6.555165,1.095128,4.331862,0.365349,0.070683,0.695815,0.124748,42.9,5.0,21.494993,9.385241,20.961657,8.1157,8.575599,3.916943,7.567677,2.298576,239.5,0,6.200000000000003,High HLE,2,Q1: least exposed
2022 to 2024,S12000010,East Lothian,Female,<1,60.4,55.9,64.9,132,3791.5,2.272727,12.878788,6.818182,18.939394,48592,57.585611,1.636072,40.786549,4.192048,26.821287,4.700362,3.288607,43.878207,11.31799,112284,3.06366,1.036657,1.218339,0.280539,0.088169,0.441737,0.060051,34.6,5.4,22.434185,9.196324,21.255922,10.346087,8.572904,4.809234,7.416907,2.497239,256.2,1,9.000000000000007,Middle HLE,1,Q2
2022 to 2024,S12000010,East Lothian,Male,<1,60.2,56.0,64.4,132,3791.5,2.272727,12.878788,6.818182,18.939394,43509,63.501804,2.09382,34.402078,3.842883,23.997334,1.165276,2.211037,14.340005,19.103116,112284,3.06366,1.036657,1.218339,0.280539,0.088169,0.441737,0.060051,34.6,5.4,22.434185,9.196324,21.255922,10.346087,8.572904,4.809234,7.416907,2.497239,256.2,0,8.400000000000006,Middle HLE,1,Q2
2022 to 2024,S12000011,East Renfrewshire,Female,<1,68.7,64.3,73.0,122,5934.5,3.278689,48.360656,6.557377,55.737705,41034,54.557196,1.647414,43.788078,3.467856,29.580348,5.149388,4.116099,42.59615,9.996873,96817,12.529824,1.237386,9.457017,0.465827,0.057841,1.311753,0.225606,44.6,4.9,19.748598,8.691655,19.654606,7.509012,7.778593,4.248221,6.870694,2.185567,237.7,1,8.700000000000003,High HLE,2,Q2
2022 to 2024,S12000011,East Renfrewshire,Male,<1,67.9,64.0,71.8,122,5934.5,3.278689,48.360656,6.557377,55.737705,36423,62.721357,2.188178,35.082228,3.039288,24.51473,1.046042,3.744886,16.5638,18.656161,96817,12.529824,1.237386,9.457017,0.465827,0.057841,1.311753,0.225606,44.6,4.9,19.748598,8.691655,19.654606,7.509012,7.778593,4.248221,6.870694,2.185567,237.7,0,7.799999999999997,High HLE,2,Q2
2022 to 2024,S12000014,Falkirk,Female,<1,59.2,55.5,62.8,214,3145.0,11.214953,10.747664,17.28972,17.757009,68227,57.285239,2.010934,40.705293,5.63853,25.259795,5.020007,3.554311,40.543445,7.256166,158404,3.475922,0.710209,2.048559,0.374991,0.073862,0.267039,0.067818,25.7,7.0,24.584606,11.161966,21.92432,11.570415,10.094442,5.052271,7.350193,2.359158,378.4,1,7.299999999999997,Middle HLE,1,Q3
2022 to 2024,S12000014,Falkirk,Male,<1,58.8,55.3,62.4,214,3145.0,11.214953,10.747664,17.28972,17.757009,63170,63.807187,2.88903,33.297451,4.815577,21.689093,1.380402,2.300142,12.211278,13.687449,158404,3.475922,0.710209,2.048559,0.374991,0.073862,0.267039,0.067818,25.7,7.0,24.584606,11.161966,21.92432,11.570415,10.094442,5.052271,7.350193,2.359158,378.4,0,7.100000000000001,Middle HLE,1,Q3
2022 to 2024,S12000047,Fife,Female,<1,59.0,55.4,62.7,494,3439.5,15.991903,14.777328,19.838057,19.02834,161704,52.46809,2.24175,45.287068,5.445753,27.192896,5.381438,3.695641,42.74012,9.22999,371781,4.00666,0.890847,2.15557,0.364462,0.084996,0.510785,0.077944,28.6,6.7,25.700883,11.126981,23.444178,11.87285,10.351524,5.763877,7.783077,2.759151,464.1,1,7.300000000000004,Middle HLE,1,Q3
2022 to 2024,S12000047,Fife,Male,<1,58.9,56.0,61.7,494,3439.5,15.991903,14.777328,19.838057,19.02834,148232,58.668843,3.209833,38.123347,4.878164,24.141886,1.647418,2.626963,14.58846,15.527907,371781,4.00666,0.890847,2.15557,0.364462,0.084996,0.510785,0.077944,28.6,6.7,25.700883,11.126981,23.444178,11.87285,10.351524,5.763877,7.783077,2.759151,464.1,0,5.700000000000003,Middle HLE,1,Q3
2022 to 2024,S12000049,Glasgow City,Female,<1,56.1,52.4,59.7,746,1690.0,39.678284,7.774799,45.978552,10.857909,270201,53.345843,3.280151,43.372526,7.622104,16.798976,6.78754,6.7905,38.81824,7.64321,620756,19.287127,1.711462,11.082132,3.587883,0.236969,2.669487,0.333963,34.7,10.8,26.046144,13.033301,20.119661,14.37022,10.604972,5.892815,5.624271,2.434612,596.9,1,7.300000000000004,Low HLE,0,Q4: most exposed
2022 to 2024,S12000049,Glasgow City,Male,<1,55.7,52.1,59.2,746,1690.0,39.678284,7.774799,45.978552,10.857909,254990,58.985058,4.455861,36.557512,7.743049,13.876623,2.344013,5.72846,20.667394,15.796577,620756,19.287127,1.711462,11.082132,3.587883,0.236969,2.669487,0.333963,34.7,10.8,26.046144,13.033301,20.119661,14.37022,10.604972,5.892815,5.624271,2.434612,596.9,0,7.100000000000001,Low HLE,0,Q4: most exposed
2022 to 2024,S12000017,Highland,Female,<1,62.0,55.2,68.7,312,3787.0,7.051282,5.448718,10.576923,7.371795,101872,56.484608,1.558819,41.957555,4.66664,28.038126,4.794252,2.546333,45.502416,13.172987,235351,2.594423,0.825575,1.161244,0.176332,0.089653,0.340768,0.050997,31.2,5.5,23.78405,9.789633,22.153294,9.578035,9.262336,5.064351,8.10789,2.50137,351.1,1,13.5,Middle HLE,1,Q2
2022 to 2024,S12000017,Highland,Male,<1,61.0,55.7,66.3,312,3787.0,7.051282,5.448718,10.576923,7.371795,96238,63.314907,2.175856,34.508198,4.094017,24.048713,1.333153,1.905692,14.985312,21.361167,235351,2.594423,0.825575,1.161244,0.176332,0.089653,0.340768,0.050997,31.2,5.5,23.78405,9.789633,22.153294,9.578035,9.262336,5.064351,8.10789,2.50137,351.1,0,10.599999999999994,Middle HLE,1,Q2
2022 to 2024,S12000018,Inverclyde,Female,<1,53.6,48.3,59.0,114,1974.0,36.842105,7.017544,45.614035,14.035088,34945,51.383603,1.911575,46.707684,7.900987,27.820861,5.102304,3.662899,42.052796,5.641568,78426,2.658557,0.682172,1.138653,0.237166,0.100732,0.501109,0.052256,24.6,8.6,29.297682,14.579349,23.878561,13.148701,12.731747,5.555556,8.520134,3.130339,574.8,1,10.700000000000003,Low HLE,0,Q4: most exposed
2022 to 2024,S12000018,Inverclyde,Male,<1,54.1,49.7,58.6,114,1974.0,36.842105,7.017544,45.614035,14.035088,31470,56.415634,3.454083,40.130283,7.956784,23.632031,2.036861,2.675564,15.624648,13.118171,78426,2.658557,0.682172,1.138653,0.237166,0.100732,0.501109,0.052256,24.6,8.6,29.297682,14.579349,23.878561,13.148701,12.731747,5.555556,8.520134,3.130339,574.8,0,8.899999999999999,Low HLE,0,Q4: most exposed
2022 to 2024,S12000019,Midlothian,Female,<1,60.9,54.6,67.2,115,2943.0,4.347826,9.565217,10.434783,13.913043,40931,60.616648,1.434121,37.951675,4.707923,24.316533,4.656617,2.900002,40.69969,7.649833,96527,4.534483,1.063951,2.298839,0.491054,0.098418,0.582221,0.087933,29.5,6.2,22.806054,9.71956,20.70716,10.737928,8.81515,5.687528,6.950387,2.348566,273.6,1,12.600000000000001,Middle HLE,1,Q2
2022 to 2024,S12000019,Midlothian,Male,<1,60.3,55.0,65.6,115,2943.0,4.347826,9.565217,10.434783,13.913043,37388,66.537392,2.161121,31.304162,4.145715,21.009415,1.438964,2.150423,14.382763,16.215782,96527,4.534483,1.063951,2.298839,0.491054,0.098418,0.582221,0.087933,29.5,6.2,22.806054,9.71956,20.70716,10.737928,8.81515,5.687528,6.950387,2.348566,273.6,0,10.599999999999994,Middle HLE,1,Q2
2022 to 2024,S12000020,Moray,Female,<1,62.5,57.6,67.4,126,4043.0,1.587302,7.936508,3.174603,11.111111,39858,54.844699,1.828993,43.338853,4.26765,28.714436,5.632495,2.375935,48.357731,11.747484,93293,2.398894,0.758899,0.978637,0.167215,0.11898,0.377306,0.047231,26.9,5.2,22.834511,9.096074,21.326359,9.703836,8.790585,4.879251,8.091711,2.726893,235.3,1,9.800000000000004,High HLE,2,Q1: least exposed
2022 to 2024,S12000020,Moray,Male,<1,61.3,57.3,65.4,126,4043.0,1.587302,7.936508,3.174603,11.111111,37892,62.923572,2.559907,34.508603,3.705268,24.577747,1.161195,1.464689,12.091599,15.925009,93293,2.398894,0.758899,0.978637,0.167215,0.11898,0.377306,0.047231,26.9,5.2,22.834511,9.096074,21.326359,9.703836,8.790585,4.879251,8.091711,2.726893,235.3,0,8.100000000000009,Middle HLE,1,Q1: least exposed
2022 to 2024,S12000013,Na h-Eileanan Siar,Female,<1,64.5,51.0,77.9,36,3418.5,0.0,0.0,0.0,0.0,11286,56.379585,1.275917,42.371079,4.235336,30.586567,3.721425,1.922736,44.853057,10.702499,26140,1.664116,0.623565,0.596787,0.091813,0.042081,0.325172,0.032919,31.1,5.4,24.299923,10.501148,22.318286,8.006886,10.191278,3.638103,8.546289,2.953328,740.3,1,26.900000000000006,High HLE,2,Q1: least exposed
2022 to 2024,S12000013,Na h-Eileanan Siar,Male,<1,63.4,54.7,72.2,36,3418.5,0.0,0.0,0.0,0.0,10888,62.224467,2.139971,35.635562,4.142175,25.275533,1.414401,1.386848,15.158672,22.346863,26140,1.664116,0.623565,0.596787,0.091813,0.042081,0.325172,0.032919,31.1,5.4,24.299923,10.501148,22.318286,8.006886,10.191278,3.638103,8.546289,2.953328,740.3,0,17.5,High HLE,2,Q1: least exposed
2022 to 2024,S12000021,North Ayrshire,Female,<1,53.5,48.1,58.9,186,2003.5,28.494624,6.451613,40.322581,9.139785,59307,50.08515,2.551132,47.351915,6.962079,29.333805,5.530544,3.289662,43.980609,8.224482,133413,2.077009,0.570409,0.879974,0.161154,0.06671,0.398762,0.04098,24.1,8.3,28.559436,13.913187,24.808677,12.11651,12.445564,4.790388,8.122897,2.991463,469.5,1,10.799999999999997,Low HLE,0,Q4: most exposed
2022 to 2024,S12000021,North Ayrshire,Male,<1,53.3,48.5,58.0,186,2003.5,28.494624,6.451613,40.322581,9.139785,52859,55.400216,3.738247,40.85397,6.583552,26.330426,1.935337,2.273974,14.697446,15.933616,133413,2.077009,0.570409,0.879974,0.161154,0.06671,0.398762,0.04098,24.1,8.3,28.559436,13.913187,24.808677,12.11651,12.445564,4.790388,8.122897,2.991463,469.5,0,9.5,Low HLE,0,Q4: most exposed
2022 to 2024,S12000050,North Lanarkshire,Female,<1,52.3,48.0,56.5,447,2138.0,25.503356,4.9217,34.675615,10.290828,145819,56.581104,2.274052,41.144844,7.128701,22.481981,5.717362,4.162695,39.089278,5.713524,340973,4.03727,0.624683,2.442422,0.543445,0.069214,0.357506,0.078437,23.1,9.1,26.4235,13.219522,21.985318,11.912087,11.489179,4.387444,6.698771,2.542137,472.6,1,8.5,Low HLE,0,Q4: most exposed
2022 to 2024,S12000050,North Lanarkshire,Male,<1,52.9,48.5,57.2,447,2138.0,25.503356,4.9217,34.675615,10.290828,134883,63.231097,3.292483,33.47642,6.157929,19.046878,1.916476,2.768325,12.999484,14.453381,340973,4.03727,0.624683,2.442422,0.543445,0.069214,0.357506,0.078437,23.1,9.1,26.4235,13.219522,21.985318,11.912087,11.489179,4.387444,6.698771,2.542137,472.6,0,8.700000000000003,Low HLE,0,Q4: most exposed
2022 to 2024,S12000023,Orkney Islands,Female,<1,74.1,63.2,85.0,29,4412.0,0.0,0.0,0.0,0.0,9473,58.703684,1.224533,40.145677,3.895281,28.660403,3.895281,2.12182,50.872145,15.482827,21958,1.621277,0.664906,0.491848,0.13207,0.059204,0.255032,0.032086,31.9,4.3,23.827307,9.490846,22.76619,9.864286,9.68212,5.688132,8.206576,2.860005,350.1,1,21.799999999999997,High HLE,2,Q1: least exposed
2022 to 2024,S12000023,Orkney Islands,Male,<1,72.9,63.8,82.1,29,4412.0,0.0,0.0,0.0,0.0,8975,64.479109,1.649025,33.883008,3.62117,25.470752,0.857939,1.537604,15.5521,25.557284,21958,1.621277,0.664906,0.491848,0.13207,0.059204,0.255032,0.032086,31.9,4.3,23.827307,9.490846,22.76619,9.864286,9.68212,5.688132,8.206576,2.860005,350.1,0,18.299999999999997,High HLE,2,Q1: least exposed
2022 to 2024,S12000048,Perth and Kinross,Female,<1,66.4,62.7,70.0,186,4621.5,3.763441,14.516129,6.451613,22.043011,65739,54.838072,1.5379,43.628592,4.085855,30.295563,4.502654,2.820244,42.005548,12.929265,150953,3.22882,0.922141,1.509079,0.281545,0.063596,0.452459,0.063192,35.8,4.9,22.87202,9.280372,21.899532,9.754692,8.782866,5.330798,8.089935,2.541188,291.8,1,7.299999999999997,High HLE,2,Q1: least exposed
2022 to 2024,S12000048,Perth and Kinross,Male,<1,65.3,62.0,68.7,186,4621.5,3.763441,14.516129,6.451613,22.043011,61311,61.356037,2.249189,36.402929,3.50345,26.078518,1.0145,2.112182,15.10713,20.69488,150953,3.22882,0.922141,1.509079,0.281545,0.063596,0.452459,0.063192,35.8,4.9,22.87202,9.280372,21.899532,9.754692,8.782866,5.330798,8.089935,2.541188,291.8,0,6.700000000000003,High HLE,2,Q1: least exposed
2022 to 2024,S12000038,Renfrewshire,Female,<1,56.5,51.6,61.4,225,3124.0,22.666667,14.222222,24.888889,20.888889,80523,57.403475,2.037927,40.554873,5.610819,25.27725,4.242266,4.808564,38.279644,6.351816,183874,5.457542,0.857109,2.709464,1.175805,0.103875,0.615095,0.105188,30.5,7.4,24.756083,11.732491,21.769255,11.452951,10.291286,4.740746,7.084199,2.564256,441.9,1,9.799999999999997,Low HLE,0,Q3
2022 to 2024,S12000038,Renfrewshire,Male,<1,56.5,52.4,60.7,225,3124.0,22.666667,14.222222,24.888889,20.888889,73739,62.641208,3.110972,34.242395,5.390635,21.190957,1.48768,3.53273,15.015912,13.976749,183874,5.457542,0.857109,2.709464,1.175805,0.103875,0.615095,0.105188,30.5,7.4,24.756083,11.732491,21.769255,11.452951,10.291286,4.740746,7.084199,2.564256,441.9,0,8.300000000000004,Low HLE,0,Q3
2022 to 2024,S12000026,Scottish Borders,Female,<1,63.0,58.6,67.5,143,3961.0,4.895105,4.895105,6.293706,8.391608,51178,53.669546,1.541678,44.782915,4.304584,31.43929,4.482395,2.409238,45.698475,14.420941,116821,1.899487,0.721617,0.68652,0.142954,0.070193,0.281627,0.037519,32.0,5.1,23.586513,9.487164,21.992621,9.877505,9.18756,4.822763,8.49248,2.885611,224.7,1,8.899999999999999,High HLE,2,Q1: least exposed
2022 to 2024,S12000026,Scottish Borders,Male,<1,62.3,58.6,66.0,143,3961.0,4.895105,4.895105,6.293706,8.391608,47421,59.827924,2.338626,37.848211,4.067818,27.861074,1.172476,1.617427,15.833069,23.904691,116821,1.899487,0.721617,0.68652,0.142954,0.070193,0.281627,0.037519,32.0,5.1,23.586513,9.487164,21.992621,9.877505,9.18756,4.822763,8.49248,2.885611,224.7,0,7.399999999999999,High HLE,2,Q1: least exposed
2022 to 2024,S12000027,Shetland Islands,Female,<1,70.8,58.8,82.8,30,4446.0,0.0,0.0,0.0,0.0,9438,62.958254,1.080737,35.918627,3.485908,25.577453,3.475313,2.436957,48.670481,9.407607,22986,2.440616,0.852693,1.10067,0.18707,0.026103,0.282781,0.048011,29.6,4.8,21.987297,8.566084,21.987297,9.35352,8.191943,5.498999,7.626381,2.988776,257.3,1,24.0,High HLE,2,Q1: least exposed
